# days since Jan 23,cases count italy,growth rate italy,case count France,growth rate France,case count england,growth rate england,case count hubei,growth rate hubei,case count south korea,growth rate south korea,case count usa,growth rate usa,case count bc,grow rate bc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.00000,3.08392,1.00000,11.25175,1.08392,7.47786,1.64336,35512.17016,4705.31935,27.16317,1.16084,11.80420,0.39161,4.16783,13.68531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.00000,3.00000,1.00000,11.45921,0.66434,8.40559,1.41026,40217.28205,5034.86014,27.63636,1.10256,12.19580,0.36830,3.91608,14.12121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.00000,3.00000,1.00000,11.20047,1.00000,9.11422,1.08392,45251.94639,5055.07692,28.06294,1.02098,12.56410,0.29837,3.93706,14.45921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.00000,3.00000,1.00000,11.39627,1.00000,9.37995,0.66434,50306.86247,4657.27972,28.40793,-5.12587,12.86247,0.18182,4.03963,15.00699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.00000,3.00000,-0.34266,11.60373,1.00000,9.06294,1.00000,54964.03963,3795.78089,22.59441,-5.79720,13.04429,-0.14918,4.20047,15.60839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.00000,1.57343,-2.10490,11.79953,1.00000,9.08392,1.00000,58759.79953,2312.00699,16.21445,-8.67133,12.89510,0.06294,4.31235,16.60839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.00000,-1.59441,-4.21911,11.96037,1.00000,9.00000,1.00000,61071.89044,276.48252,7.18182,13.41958,12.95804,0.12121,4.54079,17.48718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.00000,-6.77389,3.58275,12.06294,1.00000,9.00000,0.74825,61348.45688,655.86946,20.36597,38.62937,13.07925,-2.69930,4.83916,18.31469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.00000,-3.99068,13.97436,12.08392,0.91608,8.66434,1.06294,62004.30536,731.40793,58.85082,82.04895,10.37995,1.14685,5.16084,19.19814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.00000,9.37995,25.65268,11.83217,0.76923,8.74825,1.30769,62735.61072,507.82284,140.78788,110.14219,11.52681,3.60373,5.37529,20.09324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
